price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90971.70000000,0.09700000,0.00300000,0.09400000,272.91540000,8551.34920000,-0.09100000,-0.93814432,0.03092783
90971.80000000,0.72900000,0.00600000,0.72300000,545.83140000,65772.68370000,-0.71700000,-0.98353909,0.00823045
90971.90000000,0.40100000,0.02900000,0.37200000,2638.18800000,33841.58400000,-0.34300000,-0.85536159,0.07231920
90972.10000000,0.03300000,0.02200000,0.01100000,2001.38790000,1000.69340000,0.01100000,0.33333332,0.66666665
90972.20000000,0.01500000,0.00500000,0.01000000,454.86150000,909.72300000,-0.00500000,-0.33333331,0.33333331
90972.30000000,0.72000000,0.00700000,0.71300000,636.80680000,64863.32120000,-0.70600000,-0.98055555,0.00972222
90972.40000000,0.65000000,0.00000000,0.65000000,0.00000000,59132.12500000,-0.65000000,-1.00000000,0.00000000
90972.60000000,2.08900000,0.85200000,1.23700000,77508.71620000,112533.12720000,-0.38500000,-0.18429871,0.40785065
90972.70000000,0.11200000,0.00000000,0.11200000,0.00000000,10188.95360000,-0.11200000,-0.99999999,0.00000000
90972.80000000,0.05200000,0.00800000,0.04400000,727.78320000,4002.80760000,-0.03600000,-0.69230768,0.15384615
90972.90000000,0.06900000,0.00700000,0.06200000,636.81100000,5640.32600000,-0.05500000,-0.79710144,0.10144927
90973.10000000,0.84900000,0.49900000,0.35000000,45395.61700000,31840.61310000,0.14900000,0.17550059,0.58775029
90973.20000000,0.04700000,0.00800000,0.03900000,727.78640000,3547.95870000,-0.03100000,-0.65957445,0.17021276
90973.30000000,0.00800000,0.00600000,0.00200000,545.84040000,181.94680000,0.00400000,0.49999994,0.74999991
90973.40000000,0.05900000,0.00400000,0.05500000,363.89400000,5003.54250000,-0.05100000,-0.86440677,0.06779661
90973.60000000,0.03500000,0.00700000,0.02800000,636.81560000,2547.26200000,-0.02100000,-0.59999998,0.19999999
90973.70000000,0.09800000,0.00000000,0.09800000,0.00000000,8915.43240000,-0.09800000,-0.99999999,0.00000000
90973.80000000,0.02300000,0.02100000,0.00200000,1910.45190000,181.94780000,0.01900000,0.82608692,0.91304344
90973.90000000,0.01300000,0.00600000,0.00700000,545.84400000,636.81800000,-0.00100000,-0.07692307,0.46153843
90974.10000000,3.21600000,2.62500000,0.59100000,238807.18340000,53765.69640000,2.03400000,0.63246269,0.81623134
90974.20000000,0.36800000,0.22000000,0.14800000,20014.34600000,13464.19640000,0.07200000,0.19565217,0.59782609
90974.30000000,0.06500000,0.06100000,0.00400000,5549.43840000,363.89760000,0.05700000,0.87692306,0.93846152
90974.40000000,0.06900000,0.00300000,0.06600000,272.92350000,6004.31700000,-0.06300000,-0.91304347,0.04347826
90974.60000000,0.03400000,0.00900000,0.02500000,818.77180000,2274.36630000,-0.01600000,-0.47058822,0.26470587
90974.70000000,0.06500000,0.05700000,0.00800000,5185.56360000,727.79840000,0.04900000,0.75384614,0.87692306
90974.80000000,0.10400000,0.07200000,0.03200000,6550.19280000,2911.19680000,0.04000000,0.38461538,0.69230769
90974.90000000,2.03400000,0.02100000,2.01300000,1910.47500000,183132.67500000,-1.99200000,-0.97935103,0.01032448
90975.10000000,3.06900000,0.48900000,2.58000000,44486.87220000,234716.01440000,-2.09100000,-0.68132942,0.15933529
